"ALLERGY_ID","MATERIAL_ID","ALLERGY_CATEGORY","ALLERGY_NAME"
"1","1015","4","小麦"
"2","1016","4","小麦"
"4","1018","4","小麦"
"5","1019","4","小麦"
"6","1020","4","小麦"
"7","1021","4","小麦"
"9","1023","4","小麦"
"10","1024","4","小麦"
"11","1025","4","小麦"
"12","1026","4","小麦"
"13","1028","4","小麦"
"14","1030","4","小麦"
"15","1031","4","小麦"
"16","10319","1","えび"
"17","1032","4","小麦"
"18","10320","1","えび"
"19","10321","1","えび"
"20","10322","1","えび"
"21","10323","1","えび"
"22","10324","1","えび"
"23","10325","1","えび"
"24","10326","1","えび"
"25","10327","1","えび"
"26","10328","1","えび"
"27","10329","1","えび"
"28","1033","4","小麦"
"29","10330","1","えび"
"30","10331","1","えび"
"31","10332","2","かに"
"32","10333","2","かに"
"33","10334","2","かに"
"34","10335","2","かに"
"35","10336","2","かに"
"36","10337","2","かに"
"37","10338","2","かに"
"38","10339","2","かに"
"39","1034","4","小麦"
"40","10340","2","かに"
"41","10341","2","かに"
"42","1035","4","小麦"
"43","1036","4","小麦"
"44","1037","4","小麦"
"45","1038","4","小麦"
"46","1039","4","小麦"
"47","1041","4","小麦"
"48","10415","1","えび"
"49","10416","1","えび"
"50","1042","4","小麦"
"51","1043","4","小麦"
"52","10431","1","えび"
"53","1044","4","小麦"
"54","1045","4","小麦"
"55","1046","4","小麦"
"56","1047","4","小麦"
"57","1048","4","小麦"
"58","1049","4","小麦"
"59","1050","4","小麦"
"60","1051","4","小麦"
"61","1052","4","小麦"
"62","1053","4","小麦"
"63","1054","4","小麦"
"64","1055","4","小麦"
"65","1056","4","小麦"
"66","1057","4","小麦"
"67","1058","4","小麦"
"68","1060","4","小麦"
"69","1061","4","小麦"
"70","1062","4","小麦"
"71","1063","4","小麦"
"72","1064","4","小麦"
"73","1065","4","小麦"
"74","1066","4","小麦"
"75","1067","4","小麦"
"76","1068","4","小麦"
"77","1069","4","小麦"
"78","1070","4","小麦"
"79","1071","4","小麦"
"80","1072","4","小麦"
"81","1073","4","小麦"
"82","1074","4","小麦"
"83","1075","4","小麦"
"84","1076","4","小麦"
"85","1077","4","小麦"
"86","1078","4","小麦"
"87","1079","4","小麦"
"88","1122","5","そば"
"89","1123","5","そば"
"90","1124","5","そば"
"91","1125","5","そば"
"92","1126","5","そば"
"93","1127","5","そば"
"94","1128","5","そば"
"95","1129","5","そば"
"96","1130","5","そば"
"97","1144","4","小麦"
"98","1145","4","小麦"
"99","1146","4","小麦"
"100","1147","4","小麦"
"101","1148","4","小麦"
"102","1149","4","小麦"
"103","1150","4","小麦"
