"RECIPE_ID","COOK_ID","MATERIAL_ID","material_quantity"
"1","9","10320","0"
"2","9","10338","0"
"3","9","10321","0"
"4","9","10333","0"
"5","10","1002","0"
"6","10","4101","0"
"7","11","11004","0"
"8","11","2005","0"
"9","11","6227","0"
"10","11","4034","0"
"11","11","17007","0"
"12","11","6365","0"
"13","11","17019","0"
"14","12","5006","0"
"15","12","17007","0"
"16","12","17054","0"
"17","12","3006","0"
"18","12","17019","0"
"19","13","6065","0"
"20","13","17012","0"
"21","13","17015","0"
"22","13","3006","0"
"23","14","11115","0"
"24","14","6061","0"
"25","14","17007","0"
"26","14","17054","0"
"27","14","14002","0"
"28","15","6086","0"
"29","15","5017","0"
"30","15","17007","0"
"31","15","17054","0"
"32","16","9053","0"
"33","16","6214","0"
"34","16","2002","0"
"35","16","17007","0"
"36","16","17054","0"
"37","16","17019","0"
"38","17","11089","0"
"39","17","6154","0"
"40","17","1077","0"
"41","17","13003","0"
"42","17","12004","0"
"43","17","17012","0"
"44","17","17063","0"
"45","18","6065","0"
"46","18","17007","0"
"47","18","17054","0"
"48","18","14002","0"
"49","18","5018","0"
"50","19","12004","0"
"51","19","17019","0"
"52","19","17007","0"
"53","19","17054","0"
"54","20","11216","0"
"55","20","17007","0"
"56","20","17054","0"
"57","20","6103","0"
"58","20","1077","0"
"59","20","14002","0"
"60","21","10241","0"
"61","21","17007","0"
"62","21","17054","0"
"63","21","3006","0"
"64","21","16001","0"
"65","21","6365","0"
"66","22","6286","0"
"67","22","17007","0"
"68","22","14002","0"
"69","22","5018","0"
"70","22","6223","0"
"71","23","2006","0"
"72","23","3007","0"
"73","23","17054","0"
"74","23","17007","0"
"75","23","17020","0"
"76","24","10154","0"
"77","24","17044","0"
"78","24","17054","0"
"79","24","3006","0"
"80","24","17007","0"
"81","24","17019","0"
"82","25","6267","0"
"83","25","5004","0"
"84","25","17007","0"
"85","25","17054","0"
"86","26","2017","0"
"87","26","17019","0"
"88","26","17044","0"
"89","26","6227","0"
"90","27","11217","0"
"91","27","7022","0"
"92","27","17007","0"
"93","27","17054","0"
"94","28","11214","200"
"95","29","9003","111"
"96","32","10005","111"
