Material_ID,Name,Calorie,Protein,Lipids,Fiber,Carbohydrates,SaltContent
1001,アマランサス　玄穀,343,12.7,6,7.4,64.9,0
1002,あわ　精白粒,346,11.2,4.4,3.3,69.7,0
1003,こめ　B4［水稲軟めし］　精白米,210,5.1,1.3,1.5,45.3,0
1004,えんばく　オートミール,350,13.7,5.7,9.4,69.1,0
1005,おおむぎ　七分つき押麦,343,10.9,2.1,10.3,72.1,0
1006,おおむぎ　押麦　乾,329,6.7,1.5,12.2,78.3,0
1170,おおむぎ　押麦　めし,118,2.2,0.5,4.2,28.5,0
1007,おおむぎ　米粒麦,333,7,2.1,8.7,76.2,0
1008,おおむぎ　大麦めん　乾,343,12.9,1.7,6.3,68,2.8
1009,おおむぎ　大麦めん　ゆで,121,4.8,0.6,2.5,24.3,0.2
1010,おおむぎ　麦こがし,368,12.5,5,15.5,77.1,0
1167,キヌア　玄穀,344,13.4,3.2,6.2,69,0.1
1011,きび　精白粒,353,11.3,3.3,1.6,70.9,0
1012,こむぎ　［玄穀］　国産　普通,329,10.8,3.1,14,72.1,0
1013,こむぎ　［玄穀］　輸入　軟質,344,10.1,3.3,11.2,75.2,0
1014,こむぎ　［玄穀］　輸入　硬質,332,13,3,11.4,69.4,0
1015,こむぎ　［小麦粉］　薄力粉　1等,349,8.3,1.5,2.5,75.8,0
1016,こむぎ　［小麦粉］　薄力粉　2等,345,9.3,1.9,2.6,74.3,0
1018,こむぎ　［小麦粉］　中力粉　1等,337,9,1.6,2.8,75.1,0
1019,こむぎ　［小麦粉］　中力粉　2等,346,9.7,1.8,2.1,74,0
1020,こむぎ　［小麦粉］　強力粉　1等,337,11.8,1.5,2.7,71.7,0
1021,,343,12.6,1.7,2.1,70.6,0
1023,こむぎ　［小麦粉］　強力粉　全粒粉,320,12.8,2.9,11.2,68.2,0
1146,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335,10.1,1.9,2.8,73.6,3.7
1024,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360,7.8,4,1.8,74.4,1
1147,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311,10.2,1.2,2.6,70,9.7
1025,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337,8.8,1.3,2.5,76.1,0.5
1171,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,132,3.3,0.5,1.9,30.2,0.2
1172,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,588,4.3,47.7,3.3,37,0.2
1026,こむぎ　［パン類］　角形食パン　食パン,248,8.9,4.1,4.2,46.4,1.2
1174,こむぎ　［パン類］　角形食パン　焼き,269,9.7,4.5,4.6,50.6,1.3
1175,こむぎ　［パン類］　角形食パン　耳を除いたもの,226,8.2,3.7,3.8,42.6,1.1
1176,こむぎ　［パン類］　角形食パン　耳,273,-9.7,-4.5,-4.7,-50.8,-1.3
1206,こむぎ　［パン類］　食パン　リーンタイプ,246,-8,-3.7,-2,-47.5,-1.3
1207,こむぎ　［パン類］　食パン　リッチタイプ,256,-7.8,-6,-1.7,-45.6,-1.1
1205,こむぎ　［パン類］　山形食パン　食パン,246,-7.8,-3.5,-1.8,-47.9,-1.3
1028,こむぎ　［パン類］　コッペパン,259,8.5,3.8,2,49.1,1.3
1030,こむぎ　［パン類］　乾パン,386,9.5,4.4,3.1,78.8,1.2
1031,こむぎ　［パン類］　フランスパン,289,9.4,1.3,2.7,57.5,1.6
1032,こむぎ　［パン類］　ライ麦パン,252,8.4,2.2,5.6,52.7,1.2
1208,こむぎ　［パン類］　全粒粉パン,251,7.9,5.7,4.5,45.5,1
1033,こむぎ　［パン類］　ぶどうパン,263,8.2,3.5,2.2,51.1,1
1034,こむぎ　［パン類］　ロールパン,309,10.1,9,2,48.6,1.2
1209,こむぎ　［パン類］　クロワッサン　レギュラータイプ,406,-6.5,-20.4,-1.9,-51.5,-1.4
1035,こむぎ　［パン類］　クロワッサン　リッチタイプ,438,7.9,26.8,1.8,43.9,1.2
1210,こむぎ　［パン類］　くるみパン,292,-8.2,-12.6,-2.4,-38.7,-0.8
